Entities,Tokens,Raw Text
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Organism', 'O', 'B-Crop', 'B-Crop', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Organism', 'I-Organism', 'I-Organism', 'O', 'B-Organism', 'B-Organism', 'O', 'O', 'O', 'O', 'O', 'B-Organism', 'I-Organism', 'I-Organism', 'O', 'B-Organism', 'B-Organism', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['With', 'the', 'widespread', 'adoption', 'of', 'high', 'yielding', 'rice', '(', 'Oryza', 'sativa', 'L.', ')', 'varieties', 'and', 'accompanying', 'changes', 'in', 'the', 'cultural', 'practices', ',', 'rice', 'leaf', 'folder', '[', 'Cnaphalocrocis', 'medinalis', '(', 'Guenee', ')', ']', 'and', 'yellow', 'stem', 'borer', '[', 'Scirpophaga', 'incertulas', '(', 'Walker', ')', ']', 'has', 'attained', 'the', 'status', 'of', 'major', 'pests', 'and', 'influence', 'the', 'yield', 'if', 'proper', 'timely', 'management', 'practices', 'are', 'not', 'adopted', '.']","With the widespread adoption of high yielding rice (Oryza sativa L.) varieties and accompanying changes in the cultural practices, rice leaf folder [Cnaphalocrocis medinalis (Guenee)] and yellow stem borer [Scirpophaga incertulas (Walker)] has attained the status of major pests and influence the yield if proper timely management practices are not adopted."
"['O', 'O', 'O', 'O', 'B-Other_Quantity', 'O', 'O', 'O', 'B-Other_Quantity', 'I-Other_Quantity', 'O', 'B-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Other_Quantity', 'I-Other_Quantity', 'I-Other_Quantity', 'O', 'O', 'O', 'B-Other_Quantity', 'I-Other_Quantity', 'O', 'O', 'O', 'O', 'B-Other_Quantity', 'O', 'O', 'O', 'O', 'B-Citation', 'I-Citation', 'O', 'O', 'B-Citation', 'O', 'O']","['With', 'just', '4', '%', 'of', 'the', 'world', ""'s"", 'agricultural', 'area', ',', 'Europe', '(', 'EU', '27', ')', 'proved', 'to', 'be', 'a', 'pivotal', 'ancient', 'farming', 'region', ',', 'generating', '14', '%', 'of', 'total', 'cereals', 'and', '20', '%', 'of', 'meat', 'output', 'by', 'the', 'turn', 'of', 'the', '20th', 'century', '(', 'Olesen', '&', 'Bindi', ',', '2002', ')', '.']","With just 4 % of the world 's agricultural area , Europe ( EU 27 ) proved to be a pivotal ancient farming region , generating 14 % of total cereals and 20 % of meat output by the turn of the 20th century ( Olesen & Bindi , 2002 ) ."
"['O', 'B-Person', 'O', 'O', 'B-Organism', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'O', 'B-Organism', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Some', 'conservationists', 'suggest', 'using', 'livestock', 'as', '“', 'ecosystem', 'engineers', '”', 'to', 'increase', 'habitat', 'heterogeneity', 'in', 'rangelands', 'because', 'birds', 'require', 'a', 'spectrum', 'of', 'sparse', 'to', 'dense', 'vegetation', 'cover', '.']",Some conservationists suggest using livestock as “ecosystem engineers” to increase habitat heterogeneity in rangelands because birds require a spectrum of sparse to dense vegetation cover.
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Season', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'O']","['These', 'heat', 'waves', 'will', 'lead', 'to', 'increased', 'variability', 'in', 'summer', 'monsoon', 'precipitation', ',', 'which', 'will', 'result', 'in', 'drastic', 'effects', 'on', 'the', 'agriculture', 'sector', 'in', 'India', '.']","These heat waves will lead to increased variability in summer monsoon precipitation, which will result in drastic effects on the agriculture sector in India."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Natural_Disaster', 'I-Natural_Disaster', 'O']","['It', 'is', 'recognized', 'as', 'one', 'of', 'the', 'most', 'feasible', ',', 'cost-effective', 'and', 'rational', 'ways', 'of', 'developing', 'resilience', 'to', 'the', 'changing', 'climate', '.']","It is recognized as one of the most feasible, cost-effective and rational ways of developing resilience to the changing climate."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Agri_Process', 'I-Agri_Process', 'O']","['However', ',', 'climate', 'and', 'microclimate', ',', 'mineral', 'soil', 'texture', 'and', 'organic', 'C', 'content', ',', 'the', 'capacity', 'of', 'the', 'soil', 'to', 'provide', 'base', 'cations', 'and', 'phosphorus', ',', 'and', 'tree', 'species', 'autecology', 'appear', 'to', 'be', 'critical', 'determinants', 'of', 'site', 'sensitivity', 'to', 'biomass', 'harvesting', '.']","However, climate and microclimate, mineral soil texture and organic C content, the capacity of the soil to provide base cations and phosphorus, and tree species autecology appear to be critical determinants of site sensitivity to biomass harvesting."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'I-Location', 'I-Location', 'I-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'YG', ""'s"", 'second', 'explanation', 'for', 'the', 'distinctions', 'between', 'Western', 'and', 'Central', 'Europe', 'countries', 'relates', 'closely', 'to', 'the', 'historical', 'developments', 'in', 'both', 'regions', 'during', 'the', '20th', 'century', '.']",The YG 's second explanation for the distinctions between Western and Central Europe countries relates closely to the historical developments in both regions during the 20th century .
"['O', 'O', 'O', 'B-Natural_Disaster', 'O', 'B-Natural_Disaster', 'I-Natural_Disaster', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Natural_Disaster', 'O', 'B-Natural_Disaster', 'I-Natural_Disaster', 'O']","['The', 'gathering', 'of', 'microclimate', 'and', 'soil', 'moisture', 'data', 'aimed', 'to', 'assess', 'the', 'efficacy', 'of', 'utilizing', 'shade', 'trees', 'in', 'an', 'agroforestry', 'system', 'to', 'safeguard', 'crop', 'plants', 'from', 'fluctuations', 'in', 'microclimate', 'and', 'soil', 'moisture', '.']",The gathering of microclimate and soil moisture data aimed to assess the efficacy of utilizing shade trees in an agroforestry system to safeguard crop plants from fluctuations in microclimate and soil moisture .
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Season', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'O']","['These', 'heat', 'waves', 'will', 'lead', 'to', 'increased', 'variability', 'in', 'summer', 'monsoon', 'precipitation', ',', 'which', 'will', 'result', 'in', 'drastic', 'effects', 'on', 'the', 'agriculture', 'sector', 'in', 'India', '.']","These heat waves will lead to increased variability in summer monsoon precipitation, which will result in drastic effects on the agriculture sector in India."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Nutrient', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Other_Quantity', 'I-Other_Quantity', 'I-Other_Quantity', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O']","['There', 'is', 'a', 'difference', 'in', 'the', 'response', 'of', 'obligate', 'parasites', 'to', 'N', 'supply', ',', 'as', 'when', 'there', 'is', 'a', 'high', 'N', 'level', 'there', 'is', 'an', 'increase', 'in', 'severity', 'of', 'the', 'infection', '.']","There is a difference in the response of obligate parasites to N supply, as when there is a high N level there is an increase in severity of the infection."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Chemical', 'B-Quantity', 'I-Quantity', 'I-Quantity', 'O', 'B-Chemical', 'B-Quantity', 'I-Quantity', 'I-Quantity', 'O', 'O', 'O', 'B-Organism', 'I-Organism', 'I-Organism', 'O', 'B-Organism', 'I-Organism', 'I-Organism', 'O', 'O', 'B-Season', 'I-Season', 'O', 'B-Duration', 'O']","['The', 'field', 'experiment', 'aimed', 'to', 'assess', 'the', 'performance', 'of', 'chlorantraniliprole', '0.4', '%', 'gr', '(', 'Ferterra', '0.4', '%', 'gr', ')', 'in', 'controlling', 'rice', 'leaf', 'folder', 'and', 'yellow', 'stem', 'borer', 'during', 'the', 'monsoon', 'seasons', 'of', '2017-19', '.']",The field experiment aimed to assess the performance of chlorantraniliprole 0.4 % gr ( Ferterra 0.4 % gr ) in controlling rice leaf folder and yellow stem borer during the monsoon seasons of 2017-19 .
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Quantity', 'I-Quantity', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Crop', 'O', 'O', 'O', 'O']","['In', 'severe', 'epidemics', ',', 'crop', 'loss', 'may', 'be', 'as', 'high', 'as', '75', 'percent', ',', 'and', 'millions', 'of', 'hectares', 'of', 'rice', 'are', 'infected', 'annually', '.']","In severe epidemics, crop loss may be as high as 75 percent, and millions of hectares of rice are infected annually."
"['O', 'O', 'O', 'O', 'B-Rainfall', 'I-Rainfall', 'O', 'B-Location', 'O', 'O', 'O', 'O', 'B-Location', 'I-Location', 'I-Location', 'I-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'I-Location', 'I-Location', 'I-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['It', 'is', 'projected', 'that', 'rainfall', 'patterns', 'in', 'India', 'would', 'change', 'with', 'the', 'western', 'and', 'central', 'areas', 'witnessing', 'as', 'many', 'as', '15', 'more', 'dry', 'days', 'each', 'year', ',', 'whereas', 'the', 'northern', 'and', 'northwestern', 'areas', 'could', 'have', '5', 'to', '10', 'more', 'days', 'of', 'rainfall', 'annually', '.']","It is projected that rainfall patterns in India would change with the western and central areas witnessing as many as 15 more dry days each year, whereas the northern and northwestern areas could have 5 to 10 more days of rainfall annually."
"['O', 'O', 'B-Location', 'O', 'O', 'B-Location', 'O', 'B-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Further', ',', 'Pratapgarh', 'followed', 'by', 'Jaisalmer', 'and', 'Banswara', 'had', 'the', 'lowest', 'degree', 'of', 'adaptive', 'capacity', '.']","Further, Pratapgarh followed by Jaisalmer and Banswara had the lowest degree of adaptive capacity."
"['O', 'O', 'O', 'O', 'O', 'O', 'B-Season', 'O', 'B-Crop', 'O', 'O', 'B-Season', 'O', 'B-Crop', 'O', 'O', 'B-Duration', 'O', 'B-Duration', 'O', 'O', 'O', 'O', 'O', 'B-Organization', 'I-Organization', 'I-Organization', 'I-Organization', 'O', 'B-Location', 'I-Location', 'O', 'O', 'O', 'O', 'O', 'B-Agri_Method', 'I-Agri_Method', 'I-Agri_Method', 'O', 'B-Agri_Method', 'O', 'O', 'B-Organism', 'B-Organism', 'O', 'O', 'B-Agri_Method', 'I-Agri_Method', 'I-Agri_Method', 'I-Agri_Method', 'O', 'O', 'B-Nutrient', 'O', 'B-Nutrient', 'O', 'O', 'O', 'O', 'B-Crop', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Agri_Process', 'B-Agri_Process', 'O', 'O', 'O', 'O']","['A', 'field', 'experiment', 'was', 'conducted', 'during', 'rainy', '(', 'kharif', ')', 'and', 'winter', '(', 'rabi', ')', 'seasons', '2019–20', 'and', '2020–21', 'at', 'the', 'research', 'farm', 'of', 'ICAR-Indian', 'Agricultural', 'Research', 'Institute', ',', 'New', 'Delhi', 'to', 'study', 'the', 'effect', 'of', 'rice', 'establishment', 'techniques', '(', 'RETs', ')', 'and', 'microbial', 'consortia', 'mediated', 'in', 'situ', 'rice', 'residue', 'management', 'options', 'on', 'nitrogen', '(', 'N', ')', 'budgeting', 'in', 'a', 'rice', '(', 'Oryza', 'sativa', 'L.', ')', '-wheat', '(', 'Triticum', 'aestivum', 'L.', ')', 'cropping', 'system', '(', 'RWCS', ')', '.']","A field experiment was conducted during rainy (kharif) and winter (rabi) seasons 2019–20 and 2020–21 at the research farm of ICAR-Indian Agricultural Research Institute, New Delhi to study the effect of rice establishment techniques  (RETs)  and  microbial  consortia  mediated  in  situ  rice  residue  management  options  on  nitrogen  (N)  budgeting in a rice (Oryza sativa L.)-wheat (Triticum aestivum L.) cropping system (RWCS)."
"['B-Person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Nutrient', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Farmers', 'have', 'belief', 'that', 'profitability', 'is', 'only', 'associated', 'with', 'an', 'enormous', 'rate', ',', 'So', ',', 'they', 'greatly', 'rely', 'on', 'pivotal', 'nutrient', 'P', ',', 'which', 'is', 'a', 'finite', 'and', 'in', 'this', 'way', 'its', 'consumption', 'increasing', 'demand', 'causing', 'the', 'decline', 'of', 'its', 'reserves', 'due', 'to', 'rapid', 'excavation', '.']","Farmers have belief that profitability is only associated with an enormous rate, So, they greatly rely on pivotal nutrient P, which is a finite and in this way its consumption increasing demand causing the decline of its reserves due to rapid excavation."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['This', 'may', 'lead', 'to', 'increased', 'uptake', 'of', 'metals', 'by', 'some', 'test', 'crops', 'although', 'their', 'transfer', 'ratios', 'differ', 'from', 'crop', 'to', 'crop', '.']",This may lead to increased uptake of metals by some test crops although their transfer ratios differ from crop to crop.
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Technology', 'I-Technology', 'I-Technology', 'I-Technology', 'O', 'B-Technology', 'I-Technology', 'I-Technology', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Citation', 'I-Citation', 'I-Citation', 'I-Citation', 'I-Citation', 'O', 'O']","['There', 'is', 'considerable', 'variation', 'among', 'farmers', 'in', 'the', 'implementation', 'of', 'technologies', ',', 'such', 'as', 'whole', 'farm', 'planning', 'toolkits', 'or', 'integrated', 'pest', 'management', ',', 'to', 'reduce', 'farming', '’', 's', 'environmental', 'footprint', '(', 'Green', 'Growth', 'Advisory', 'Group', '2011', ')', '.']","There is considerable variation among farmers in the implementation of technologies, such as whole farm planning toolkits or integrated pest management, to reduce farming’s environmental footprint (Green Growth Advisory Group 2011)."
"['O', 'O', 'B-Agri_Process', 'O', 'O', 'B-Agri_Pollution', 'I-Agri_Pollution', 'O', 'O', 'O', 'O', 'B-Agri_Pollution', 'I-Agri_Pollution', 'I-Agri_Pollution', 'O', 'B-Agri_Pollution', 'O', 'O', 'O', 'O', 'O', 'O']","['Agricultural', ',', 'horticultural', 'and', 'other', 'industrial', 'activities', 'are', 'major', 'causes', 'of', 'contaminating', 'the', 'soils', ',', 'sediments', 'and', 'waters', 'in', 'adjacent', 'environments', '.']","Agricultural, horticultural and other industrial activities are major causes of contaminating the soils, sediments and waters in adjacent environments."
"['B-Natural_Resource', 'I-Natural_Resource', 'O', 'O', 'O', 'O', 'B-Quantity', 'B-Treatment', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Soil', 'water', 'content', 'was', 'forecasted', 'for', 'seven', 'field', 'treatments', 'using', 'the', 'model', 'under', 'ideal', 'conditions', '.']",Soil water content was forecasted for seven field treatments using the model under ideal conditions .
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['We', 'reviewed', 'the', 'literature', 'to', 'determine', 'the', 'site', 'and', 'soil', 'conditions', 'under', 'which', 'removal', 'of', 'logging', 'residues', 'along', 'with', 'the', 'stem', '(', 'i.e.', ',', 'whole-tree', 'harvesting', ')', ',', 'especially', 'at', 'clearcut', ',', 'results', 'in', 'negative', 'impacts', 'on', 'soil', 'productivity', 'compared', 'with', 'conventional', 'stem-only', 'harvesting', 'in', 'boreal', 'and', 'temperate', 'forests', '.']","We reviewed the literature to determine the site and soil conditions under which removal of logging residues along with the stem (i.e., whole-tree harvesting), especially at clearcut, results in negative impacts on soil productivity compared with conventional stem-only harvesting in boreal and temperate forests."
"['O', 'B-Person', 'O', 'O', 'B-Organism', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'O', 'B-Organism', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Some', 'conservationists', 'suggest', 'using', 'livestock', 'as', '“', 'ecosystem', 'engineers', '”', 'to', 'increase', 'habitat', 'heterogeneity', 'in', 'rangelands', 'because', 'birds', 'require', 'a', 'spectrum', 'of', 'sparse', 'to', 'dense', 'vegetation', 'cover', '.']",Some conservationists suggest using livestock as “ecosystem engineers” to increase habitat heterogeneity in rangelands because birds require a spectrum of sparse to dense vegetation cover.
"['O', 'O', 'O', 'O', 'O', 'I-Disease', 'O', 'O', 'B-Organism', 'O', 'O', 'B-Organism', 'I-Organism', 'O', 'B-Organism', 'I-Organism', 'O', 'O', 'B-Organism', 'O', 'O', 'O', 'O', 'O', 'B-Organism', 'O', 'B-Organism', 'O', 'B-Organism', 'O', 'O', 'O', 'O']","['The', 'main', 'culprits', 'behind', 'root', 'rot', 'are', 'multiple', 'fungi', ',', 'notably', 'Armillaria', 'mellea', ',', 'Clitocybe', 'tabescens', ',', 'and', 'Fusarium', ',', 'as', 'well', 'as', 'various', 'oomycetes', 'like', 'Pythium', ',', 'Phytophthora', ',', 'and', 'Aphanomyces', '.']","The main culprits behind root rot are multiple fungi , notably Armillaria mellea , Clitocybe tabescens , and Fusarium , as well as various oomycetes like Pythium , Phytophthora , and Aphanomyces ."
"['B-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Other_Quantity', 'O', 'O', 'I-Other_Quantity', 'O', 'O', 'O', 'O', 'O', 'B-Other_Quantity', 'I-Other_Quantity', 'I-Other_Quantity', 'O', 'O', 'O', 'B-Other_Quantity', 'I-Other_Quantity', 'O', 'O', 'O', 'B-Other_Quantity', 'O', 'O', 'O', 'O', 'B-Citation', 'I-Citation', 'O', 'O', 'B-Citation', 'O', 'O']","['Europe', '(', 'EU', '27', ')', 'stands', 'out', 'as', 'an', 'essential', 'traditional', 'farming', 'sector', ',', 'encompassing', 'only', '4', '%', 'of', 'the', 'global', 'agricultural', 'expanse', 'while', 'producing', '14', '%', 'of', 'total', 'cereals', 'and', '20', '%', 'of', 'meat', 'by', 'the', 'conclusion', 'of', 'the', '20th', 'century', '(', 'Olesen', '&', 'Bindi', ',', '2002', ')', '.']","Europe ( EU 27 ) stands out as an essential traditional farming sector , encompassing only 4 % of the global agricultural expanse while producing 14 % of total cereals and 20 % of meat by the conclusion of the 20th century ( Olesen & Bindi , 2002 ) ."
"['B-Fruit', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Season', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Season', 'O', 'O', 'O', 'B-Season', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Date_and_Time', 'O']","['Mango', 'is', 'the', 'king', 'of', 'fruits', 'grown', 'in', 'summer', ',', 'because', 'of', 'which', 'you', 'can', 'easily', 'get', 'this', 'fruit', 'as', 'soon', 'as', 'the', 'spring', 'ends', 'and', 'the', 'summer', 'season', 'starts', ',', 'like', 'from', 'the', 'early', 'weeks', 'of', 'April', '.']","Mango is the king of fruits grown in summer, because of which you can easily get this fruit as soon as the spring ends and the summer season starts, like from the early weeks of April."
